company_id,industry
10048388,defense and space manufacturing
2937169,hospitals and health care
1304385,pharmaceutical manufacturing
77003969,real estate
2614427,retail
145522,hospitals and health care
118486,financial services
310015,staffing and recruiting
98447259,staffing and recruiting
8716,it services and it consulting
87089640,retail
1229716,computer and network security
3234958,staffing and recruiting
78331809,retail luxury goods and jewelry
1861137,non-profit organizations
51625397,human resources services
1596601,construction
2899266,it services and it consulting
61811101,real estate
15861467,software development
3677,financial services
64697406,pharmaceutical manufacturing
150772,staffing and recruiting
163761,retail
226898,staffing and recruiting
3071652,law practice
15155562,research services
2311,hospitality
47580,pharmaceutical manufacturing
305322,architecture and planning
2305,it services and it consulting
12699415,software development
9229026,staffing and recruiting
1668011,it services and it consulting
65286386,staffing and recruiting
42537,utilities
444782,retail
389765,biotechnology research
91120639,manufacturing
21642,non-profit organizations
5352221,civic and social organizations
13884,hospitality
996149,real estate
60437,hospitality
477843,it services and it consulting
2628791,public relations and communications services
163049,hospitals and health care
18613,retail
21460,government administration
1344,"appliances, electrical, and electronics manufacturing"
6265,truck transportation
1211063,staffing and recruiting
808034,staffing and recruiting
1200322,advertising services
12979710,legal services
79153265,gambling facilities and casinos
1353,it services and it consulting
34583,hospitals and health care
55381,retail
64611,staffing and recruiting
72081740,staffing and recruiting
287076,real estate
63879,staffing and recruiting
18293159,defense and space manufacturing
6569061,food and beverage services
17388,food and beverage manufacturing
54788,staffing and recruiting
11266342,hospitals and health care
3558,higher education
908113,hospitals and health care
11369433,machinery manufacturing
4680,hospitals and health care
29121514,staffing and recruiting
25053600,utilities
157353,retail
2764432,hospitals and health care
12770,it services and it consulting
99500489,it services and it consulting
859069,it services and it consulting
269397,utilities
18268450,it services and it consulting
10593599,staffing and recruiting
2612425,food and beverage services
56350634,non-profit organizations
5266540,non-profit organizations
99351497,online audio and video media
8653,law practice
89520,motor vehicle manufacturing
61984,financial services
80871784,staffing and recruiting
56004080,personal care product manufacturing
89684468,biotechnology research
22505,construction
2399284,staffing and recruiting
13624369,it services and it consulting
9331883,staffing and recruiting
2498108,medical equipment manufacturing
59634,paper and forest product manufacturing
9454833,financial services
213642,software development
2650,higher education
948847,motor vehicle manufacturing
103114587,retail apparel and fashion
2509347,staffing and recruiting
933942,it services and it consulting
50076,software development
153364,business consulting and services
20369,retail apparel and fashion
2396310,staffing and recruiting
7355,staffing and recruiting
8835,business consulting and services
68529,software development
29686,staffing and recruiting
9382700,religious institutions
19722,financial services
67155308,it services and it consulting
8847,education administration programs
7413,hospitals and health care
16388,it services and it consulting
2831596,medical practices
63563,staffing and recruiting
838311,pharmaceutical manufacturing
109285,utilities
77847,higher education
2327,human resources services
3715179,insurance
17995,food and beverage manufacturing
68277835,construction
9201883,insurance
3028,higher education
33619,banking
110410,packaging and containers manufacturing
3386,market research
74364029,staffing and recruiting
16775,staffing and recruiting
87117542,mining
54325,it services and it consulting
157240,it services and it consulting
25026529,business consulting and services
3625,motor vehicle manufacturing
3362620,financial services
24795036,financial services
12984051,mental health care
299305,staffing and recruiting
18756,truck transportation
740278,food and beverage services
2300,retail
2480456,real estate
